year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
2014,488726,Michael Brantley,player,10,Michael Brantley,Michael,Brantley,Michael,M Brantley,114,CLE,Cleveland Indians,Indians,AL,103,LF,Outfielder,DH,676,309,211,0,5,.333,67,8,16,106,2415,3.572,.077,.083,.030,.929,.178,6,2,82,1001,99,560,14,72,192,26,0,99,75,156,168,94,45,2,20,56,52,4,200,.327,611,.385,.506,.891,1,23,.958,16,97,1.14,0,30.55
2014,134181,Adrian Beltré,player,11,Adrian Beltré,Adrian,Beltré,Adrian,A Beltré,140,TEX,Texas Rangers,Rangers,AL,103,3B,Third Base,3B,614,270,204,0,5,.345,53,3,15,91,2331,3.796,.093,.121,.031,.770,.168,8,2,93,1105,182,480,28,36,145,19,0,97,62,148,157,79,33,1,19,74,57,13,178,.324,549,.388,.492,.880,1,1,.500,15,77,0.92,0,28.90
2014,120074,David Ortiz,player,12,David Ortiz,David,Ortiz,David,D Ortiz,111,BOS,Boston Red Sox,Red Sox,AL,103,DH,Designated Hitter,DH,602,268,214,0,6,.256,62,3,18,119,2409,4.002,.125,.158,.058,.789,.255,1,0,105,1068,215,429,25,29,134,30,1,74,31,142,159,59,27,0,35,95,75,22,136,.263,518,.355,.517,.872,0,0,.---,18,104,0.84,0,14.80
2014,624577,Yasiel Puig,player,13,Yasiel Puig,Yasiel,Puig,Yasiel,Y Puig,119,LAD,Los Angeles Dodgers,Dodgers,NL,104,RF,Outfielder,RF,640,268,229,2,1,.356,62,12,7,82,2306,3.603,.105,.194,.025,.540,.185,7,0,63,1081,299,437,30,27,152,15,5,66,79,148,120,92,37,9,16,124,67,3,165,.296,558,.382,.480,.862,7,11,.611,7,69,1.27,0,34.88
2014,408047,Justin Morneau,player,14,Justin Morneau,Justin,Morneau,Justin,J Morneau,115,COL,Colorado Rockies,Rockies,NL,104,1B,First Base,1B,550,249,184,0,8,.330,52,6,7,88,1920,3.491,.062,.109,.031,.567,.177,3,1,58,1046,173,450,30,53,149,19,1,90,50,135,141,62,32,3,17,60,34,4,160,.319,502,.364,.496,.860,3,0,.000,7,82,1.06,0,29.53
2014,443558,Nelson Cruz,player,15,Nelson Cruz,Nelson,Cruz,Nelson,N Cruz,110,BAL,Baltimore Orioles,Orioles,AL,103,DH,Designated Hitter,DH,678,322,270,0,5,.288,74,5,17,94,2530,3.732,.081,.206,.059,.393,.254,6,0,92,1245,342,478,44,30,146,30,0,78,58,159,166,87,32,2,40,140,55,8,166,.271,613,.333,.525,.858,5,4,.444,17,108,0.88,0,15.32
2014,457763,Buster Posey,player,16,Buster Posey,Gerald,Posey,Buster,B Posey,137,SF,San Francisco Giants,Giants,NL,104,C,Catcher,C,605,268,217,0,8,.319,52,3,16,108,2326,3.845,.078,.114,.036,.681,.179,3,1,96,1034,159,486,15,49,156,24,0,93,53,147,160,72,28,2,22,69,47,5,170,.311,547,.364,.490,.854,1,0,.000,16,89,0.98,0,24.86
2014,461314,Matt Kemp,player,17,Matt Kemp,Matthew,Kemp,Matt,M Kemp,119,LAD,Los Angeles Dodgers,Dodgers,NL,104,RF,Outfielder,CF,599,274,242,0,6,.345,66,0,21,79,2298,3.836,.087,.242,.042,.359,.220,2,1,65,1077,331,402,5,35,142,28,1,92,34,150,105,77,38,3,25,145,52,3,155,.287,541,.346,.506,.852,5,8,.615,21,89,1.35,0,21.64
2014,150029,Jayson Werth,player,18,Jayson Werth,Jayson,Werth,Jayson,J Werth,120,WSH,Washington Nationals,Nationals,NL,104,RF,Outfielder,RF,629,243,209,0,3,.343,54,9,9,107,2667,4.240,.132,.180,.025,.735,.163,2,1,69,978,189,424,32,49,118,20,2,83,51,147,150,85,37,1,16,113,83,3,156,.292,534,.394,.455,.849,1,9,.900,9,82,0.79,0,33.38
2014,518692,Freddie Freeman,player,19,Freddie Freeman,Frederick,Freeman,Freddie,F Freeman,144,ATL,Atlanta Braves,Braves,NL,104,1B,First Base,1B,708,280,233,0,3,.351,65,8,18,106,2826,3.992,.127,.205,.025,.621,.173,1,2,87,1396,363,465,15,48,140,29,1,110,35,162,150,93,43,4,18,145,90,4,175,.288,607,.386,.461,.847,4,3,.429,18,78,0.93,0,33.72
2014,518960,Jonathan Lucroy,player,20,Jonathan Lucroy,Jonathan,Lucroy,Jonathan,J Lucroy,158,MIL,Milwaukee Brewers,Brewers,NL,104,C,Catcher,C,655,272,206,0,2,.324,68,2,13,91,2551,3.895,.101,.108,.020,.930,.164,5,1,91,1063,135,516,34,54,161,19,1,97,59,153,179,73,53,2,13,71,66,3,176,.301,585,.373,.465,.838,4,4,.500,13,69,0.90,0,45.00
2014,543281,Josh Harrison,player,21,Josh Harrison,Joshua,Harrison,Josh,J Harrison,134,PIT,Pittsburgh Pirates,Pirates,NL,104,3B,Third Base,3B,550,255,132,2,2,.353,58,4,6,60,1968,3.578,.040,.147,.024,.272,.175,3,1,85,1026,214,443,35,41,118,23,0,91,50,143,161,77,38,7,13,81,22,1,164,.315,520,.347,.490,.837,7,18,.720,6,52,0.73,0,40.00
2014,429664,Robinson Canó,player,22,Robinson Canó,Robinson,Canó,Robinson,R Canó,136,SEA,Seattle Mariners,Mariners,AL,103,2B,Second Base,2B,665,270,187,0,3,.335,53,6,19,107,2321,3.490,.092,.102,.021,.897,.139,2,0,67,1113,157,530,17,45,214,14,0,103,70,157,129,77,37,2,14,68,61,20,187,.314,595,.382,.454,.836,3,10,.769,19,82,1.66,0,42.50
2014,460576,Carlos Gómez,player,23,Carlos Gómez,Carlos,Gómez,Carlos,C Gómez,158,MIL,Milwaukee Brewers,Brewers,NL,104,CF,Outfielder,CF,644,274,189,1,3,.339,61,19,10,71,2301,3.573,.073,.219,.036,.333,.193,3,0,82,1295,360,437,44,35,113,29,2,74,58,148,161,95,34,4,23,141,47,0,163,.284,574,.356,.477,.833,12,34,.739,10,73,0.70,0,24.96
2014,457708,Justin Upton,player,23,Justin Upton,Justin,Upton,Justin,J Upton,144,ATL,Atlanta Braves,Braves,NL,104,LF,Outfielder,LF,641,278,301,0,8,.332,65,6,10,74,2575,4.017,.094,.267,.045,.351,.221,2,1,77,1243,366,403,29,31,113,31,0,76,46,154,137,77,34,2,29,171,60,1,153,.270,566,.342,.491,.833,4,8,.667,10,102,0.82,1,19.52
2014,514888,Jose Altuve,player,25,Jose Altuve,Jose,Altuve,Jose,J Altuve,117,HOU,Houston Astros,Astros,AL,103,2B,Second Base,2B,707,299,205,1,5,.360,57,5,20,110,2200,3.112,.051,.075,.010,.679,.112,8,0,107,1108,111,613,38,44,199,20,1,102,102,158,189,85,47,3,7,53,36,7,225,.341,660,.377,.453,.830,9,56,.862,20,59,1.05,0,94.29
2015,547180,Bryce Harper,player,1,Bryce Harper,Bryce,Harper,Bryce,B Harper,120,WSH,Washington Nationals,Nationals,NL,104,RF,Outfielder,1B,654,338,197,0,4,.369,81,5,15,104,2682,4.101,.190,.200,.064,.947,.319,2,2,52,1173,317,394,23,34,113,28,0,98,46,153,109,118,38,1,42,131,124,15,172,.330,521,.460,.649,1.109,4,6,.600,15,99,1.04,0,12.40
2015,502671,Paul Goldschmidt,player,2,Paul Goldschmidt,Paul,Goldschmidt,Paul,P Goldschmidt,109,AZ,Arizona Diamondbacks,D-backs,NL,104,1B,First Base,1B,695,323,214,0,7,.382,73,2,16,93,2917,4.197,.170,.217,.047,.781,.249,5,0,57,1111,279,423,23,41,120,25,0,98,59,159,121,103,38,2,33,151,118,29,182,.321,567,.435,.570,1.005,5,21,.808,16,110,0.99,1,17.18
2015,458015,Joey Votto,player,3,Joey Votto,Joseph,Votto,Joey,J Votto,113,CIN,Cincinnati Reds,Reds,NL,104,1B,First Base,1B,695,295,166,0,2,.371,64,5,11,82,3020,4.345,.206,.194,.042,1.059,.228,3,1,60,1104,265,412,6,38,137,22,1,107,41,158,104,95,33,2,29,135,143,15,171,.314,545,.459,.541,1.000,3,11,.786,11,80,1.32,0,18.79
2015,545361,Mike Trout,player,4,Mike Trout,Michael,Trout,Mike,M Trout,108,LAA,Los Angeles Angels,Angels,AL,103,CF,Outfielder,CF,682,339,166,0,5,.344,79,10,11,93,2980,4.370,.135,.232,.060,.582,.290,4,1,67,1116,246,422,15,56,112,21,2,101,48,159,138,104,32,6,41,158,92,14,172,.299,575,.402,.590,.992,7,11,.611,11,90,0.81,0,14.02
2015,408234,Miguel Cabrera,player,5,Miguel Cabrera,Jose,Cabrera,Miguel,M Cabrera,116,DET,Detroit Tigers,Tigers,AL,103,1B,First Base,1B,511,229,152,0,2,.384,47,3,19,93,1985,3.885,.151,.160,.035,.939,.196,2,0,62,892,206,349,14,27,101,25,1,69,50,119,103,64,28,1,18,82,77,15,145,.338,429,.440,.534,.974,1,1,.500,19,76,0.98,0,23.83
2015,518626,Josh Donaldson,player,6,Josh Donaldson,Joshua,Donaldson,Josh,J Donaldson,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,3B,Third Base,3B,711,352,223,2,10,.314,84,6,16,101,2817,3.962,.103,.187,.058,.549,.271,4,4,82,1288,326,499,30,35,168,40,1,85,58,158,147,122,41,2,41,133,73,0,184,.297,620,.371,.568,.939,0,6,1.000,16,123,1.14,0,15.12
